"Label","Samples","AvgMs","P90Ms","P95Ms","MaxMs","ErrorRatePct","ThroughputRps","SuccessCount","ErrorCount"
"GET /api/community/posts","100","6.09","8","10","21","0","21.27","100","0"
"GET /api/knowledge-graph/stats","100","6.65","9","10","16","0","21.87","100","0"
"GET /api/learn/my","100","8.25","11","13","18","0","21.34","100","0"
"GET /api/learn/path/detail/1","100","12.96","18","20","43","0","21.46","100","0"
"GET /api/learn/paths","100","6.1","9","10","17","0","21.41","100","0"
"GET /api/problem/detail/1","100","4.84","7","8","16","0","21.07","100","0"
"GET /api/problem/list","100","17.06","25","28","73","0","20.76","100","0"
"GET /api/submit/my","100","7.21","11","12","14","0","21.64","100","0"
"GET /api/user/info","100","6.35","10","10","38","0","21.12","100","0"
"GET /api/wrong-book/list","100","7.27","10","12","42","0","21.68","100","0"
"POST /api/user/login","10","11.2","9","66","66","0","2.26","10","0"
