"Label","Samples","AvgMs","P90Ms","P95Ms","MaxMs","ErrorRatePct","ThroughputRps","SuccessCount","ErrorCount"
"GET /api/community/posts","100","1.09","2","2","4","100","20.77","0","100"
"GET /api/knowledge-graph/stats","100","6.58","9","10","57","0","21.33","100","0"
"GET /api/learn/my","100","7.26","10","11","19","0","20.9","100","0"
"GET /api/learn/path/detail/1","100","11.71","17","19","33","0","21.01","100","0"
"GET /api/learn/paths","100","5.6","8","9","21","0","20.97","100","0"
"GET /api/problem/detail/1","100","4.48","8","9","16","0","20.7","100","0"
"GET /api/problem/list","100","16.02","24","27","56","0","20.48","100","0"
"GET /api/submit/my","100","6.89","9","11","39","0","21.12","100","0"
"GET /api/user/info","100","5.74","9","10","41","0","20.76","100","0"
"GET /api/wrong-book/list","100","6.27","9","10","18","0","21.27","100","0"
"POST /api/user/login","10","10.3","8","62","62","0","2.27","10","0"
